custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,inccat,debtinc,creddebt,othdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,longten,tollfree,tollmon,lntollmon,tollten,equip,equipmon,equipten,lnequipten,callcard,cardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
9937-SFPLRK-H9Y,2,4,0,70,6,Septiembre,17,4,2,1,2,2,0,28,2,9.3,1.195236,1.408764,0,1,1,17,4,2,9,0,0,1,0,0,0,8,0,2,14,3,5,1,0,15.7,1,0,1,1,1,29,1,0,0,0,0,0,0,0,0,0,9,6,1,0,1,1,1,3,1,26,5,4,2,4,0,17,5,8,267.71,3,79.54,1,2,59,1,14.25,805.8,1,23.5,3.15700042115011,1366.65,0,0,0, ,1,15.25,840,6.73340189183736,0,0, ,0, ,1,0,1,3,0,1,0,1,0,1,21,1,1,1,0,1,0,1,0,0,0,1,0
0712-WQXYVV-HUP,4,1,0,61,5,Abril,14,2,6,0,18,5,1,12,1,21.5,.56502,2.01498,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,12,3,3,1,0,5.8,1,1,0,4,3,25,1,0,0,1,0,0,0,0,0,0,9,3,1,0,0,1,1,2,0,24,5,3,3,1,0,22,5,10,245.03,4,63.63,0,2,61,0,8.35,476.95,0,0, ,0,1,29.1,1790.8,7.49041772636681,1,11.5,675,6.51471269087253,0,0, ,0, ,0,0,0,3,0,1,0,0,0,1,13,1,0,1,0,1,0,1,0,0,0,0,0
6441-FJUWZQ-7G8,3,4,0,37,4,Agosto,11,1,1,1,2,2,0,29,2,15.7,3.319137,1.233863,1,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,10,3,0,-1,-1,-1,-1,-1,1,5,3,29,0,0,0,1,1,0,0,0,0,0,9,4,0,0,0,5,1,2,1,12,4,4,2,2,0,11,4,17,556.61,7,187.47,1,1,39,0,13.1,504.45,1,28.5,3.3499040872746,1028.1,1,43.5,1663.95,7.41694957285278,1,10.5,380,5.94017125272043,1,31.5,3.44998754583159,1199.2,7.08940994678839,1,1,1,4,1,1,1,1,1,1,21,0,1,1,1,1,1,1,0,1,0,0,0
7634-AVNEXZ-7AG,1,3,0,39,4,Octubre,12,2,1,0,5,2,0,130,5,11.3,4.68611,10.00389,0,5,1,14,2,4,5,0,0,0,0,0,0,5,1,1,12,3,2,1,0,49.2,3,1,0,1,1,32,1,0,0,1,1,0,0,0,0,0,9,1,1,1,1,4,4,4,1,2,2,3,2,2,0,1,1,12,453.74,5,245.14,0,1,6,0,1.5,11.15,1,13.25,2.58399755243223,93,0,0,0, ,1,24.5,140,4.9416424226093,0,0, ,0, ,0,0,0,1,1,0,1,1,0,1,32,1,1,1,0,1,1,0,0,0,0,0,0
2041-PNMGHX-TXJ,4,3,1,73,6,Noviembre,14,2,3,0,28,5,1,69,3,14.8,1.164168,9.047832,0,3,1,15,3,2,0,0,0,0,0,0,0,0,0,2,38,5,1,1,1,22.8,2,1,0,1,1,27,1,0,0,1,0,0,0,1,0,0,9,5,0,0,0,2,2,3,0,32,5,3,2,4,1,24,5,6,212.67,2,80.44,0,3,62,0,25.45,1565.6,1,17.75,2.87638551592142,1031.4,1,47.15,2874.15,7.96351225734382,1,10,595,6.38856140554563,1,53.2,3.9740583963476,3245.6,8.08505551189224,1,1,1,2,1,1,1,1,1,1,22,1,1,1,1,1,1,1,0,1,0,0,0
4626-BQZAUJ-V9K,5,4,1,26,3,Junio,16,3,2,0,0,1,0,24,1,11.7,1.297296,1.510704,1,2,1,17,4,6,1,0,1,0,0,0,0,0,0,2,5,2,4,0,0,9.8,1,0,0,1,1,27,1,0,0,0,0,0,0,0,0,0,9,6,1,1,0,4,1,1,1,8,3,1,2,3,0,4,2,14,447.67,5,101,1,3,26,1,5.8,149.4,0,0, ,0,1,27.05,728.55,6.59105625745986,1,5.5,145,4.97673374242057,0,0, ,0, ,1,0,0,4,0,0,0,0,1,1,17,1,1,1,0,1,1,1,1,0,0,0,0
2969-ODPCDX-5DC,2,1,1,24,2,Abril,17,4,6,0,1,1,0,29,2,14,1.39258,2.66742,1,1,0,-1,-1,1,12,0,1,0,0,0,0,11,1,1,4,2,0,-1,-1,-1,-1,-1,0,10,5,14,0,0,1,0,0,0,1,1,0,1,9,6,0,1,1,4,1,4,0,5,2,3,3,1,0,5,2,11,279.95,1,24.55,1,1,11,1,3.95,42.4,0,0, ,0,1,19.65,172.75,5.15184546264778,0,0,0, ,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,13,1,1,1,0,0,1,1,0,0,0,1,0
4974-FUBHDF-Z7L,3,1,1,77,6,Mayo,15,3,1,0,26,5,1,11,1,10.2,.255816,.866184,0,5,0,-1,-1,1,2,0,2,0,0,0,0,0,1,4,57,5,2,1,0,3.1,1,0,0,1,1,21,1,0,0,1,1,0,0,0,0,0,9,2,1,1,0,2,1,1,0,39,5,4,4,1,0,30,5,10,194.95,5,107.06,1,2,72,0,89.45,6495.7,1,75.5,4.32413265625498,5310.55,0,0,0, ,1,40.75,2865,7.96032362914884,0,0, ,0, ,1,0,0,0,1,1,0,0,0,1,23,1,1,1,0,0,0,0,0,1,0,0,0
2525-OSULNV-0KS,5,3,0,36,4,Marzo,19,4,1,1,3,2,0,30,2,15.5,.41385,4.23615,0,4,0,-1,-1,1,7,0,0,0,0,0,0,7,1,3,16,4,3,1,0,13.1,1,0,1,1,1,24,1,1,0,0,0,0,0,0,0,0,9,1,1,1,1,1,1,3,0,10,3,2,1,4,0,11,4,11,300.97,6,178.9,0,3,37,0,6.7,233.85,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,2,0,0,0,0,0,1,15,1,1,1,0,1,1,1,0,0,0,0,0
4973-FHPBZQ-AAA,3,5,0,55,5,Diciembre,14,2,3,0,23,5,0,80,4,6.5,.0312,5.1688,0,5,0,-1,-1,1,9,2,0,0,0,0,0,7,1,3,27,5,4,1,0,35,2,0,1,1,1,25,1,0,1,1,0,0,0,0,1,0,9,6,0,0,0,2,4,3,1,21,5,4,3,2,0,17,5,11,394.02,3,71.41,0,1,47,0,12.25,524.4,0,0, ,0,0,0,0, ,1,22.25,1000,6.90775527898214,0,0, ,0, ,0,0,0,0,0,0,1,1,0,1,25,1,1,1,0,1,0,1,0,1,0,1,0
4726-RQKGNB-WAK,2,2,1,60,5,Marzo,18,4,1,0,13,4,0,51,3,7.8,1.209312,2.768688,0,5,1,13,2,2,2,2,0,0,0,0,0,0,0,2,27,5,2,1,0,25.2,2,0,1,1,1,26,1,0,1,1,0,0,0,0,0,0,9,6,1,1,0,4,2,2,0,38,5,2,4,3,1,29,5,9,112.47,2,44.52,1,3,71,0,36.35,2586.85,1,51.25,3.93671561801852,3624.85,1,55.15,4064.25,8.30998450311433,1,28.5,2090,7.64491934495886,1,55.8,4.02177386938726,3819.5,8.24787480298141,1,1,1,4,0,0,1,0,1,1,20,1,1,1,0,1,1,1,1,1,0,0,1
6592-QBSENI-6Y4,1,1,1,59,5,Febrero,8,1,2,1,4,2,0,30,2,2.8,.26292,.57708,0,5,1,10,1,4,1,0,1,0,0,0,0,0,0,2,6,2,0,-1,-1,-1,-1,-1,1,4,3,15,0,0,0,1,0,0,0,0,0,0,9,4,1,1,0,2,1,1,1,2,2,1,2,2,1,1,1,11,342.17,4,101.97,0,1,3,0,5.5,19.35,1,19.75,2.98315349134713,52.6,0,0,0, ,1,30,45,3.80666248977032,0,0, ,0, ,0,0,0,0,1,1,1,1,0,1,29,1,1,0,0,0,0,0,0,0,0,0,0
5538-DRGHIE-PF0,1,1,0,28,3,Octubre,11,1,2,1,1,1,0,17,1,8.2,.150552,1.243448,1,2,1,14,2,6,1,1,0,0,0,0,0,0,0,1,5,2,3,1,0,8.2,1,0,0,1,1,23,1,0,0,0,0,0,0,0,0,0,9,5,1,0,1,3,1,2,0,7,3,5,4,1,0,6,3,10,381.14,2,73.22,1,3,16,0,7.85,116.3,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,0,0,0,1,0,0,1,30,1,0,0,0,0,0,1,0,0,0,0,0
3550-PQUPPM-42T,3,3,0,53,5,Agosto,20,5,2,0,11,4,0,141,5,9.9,9.589833,4.369167,0,5,1,17,4,3,1,0,1,0,0,0,0,0,1,1,20,4,0,-1,-1,-1,-1,-1,0,10,5,23,0,1,0,0,0,0,0,1,0,1,9,6,1,1,1,4,2,1,0,13,4,1,4,3,0,8,3,11,445.9,3,198.77,0,3,36,1,3.4,122,1,29,3.36729582998647,1042.4,1,49.25,1693.6,7.43461171982065,1,22.25,790,6.67203294546107,1,61.25,4.11496384942484,2209.2,7.70038573802703,1,1,1,3,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,0,0,0,0
9809-NBCXAS-1RB,4,5,0,36,4,Agosto,12,2,2,0,5,2,0,45,2,8.3,.88893,2.84607,1,4,0,-1,-1,2,3,0,0,3,0,0,0,0,0,2,6,2,3,1,0,21.2,2,1,0,1,1,26,1,0,0,1,0,0,0,1,1,0,1,2,1,0,1,4,1,1,0,13,4,1,1,2,0,11,4,13,461.15,9,305.7,0,3,38,0,6.75,244.7,0,0, ,0,1,27.4,1123.6,7.02429309523009,0,0,0, ,0,0, ,0, ,1,0,0,3,0,0,0,0,1,1,29,1,1,1,0,1,1,1,0,0,0,0,0
8733-EDAXNE-8DV,3,1,0,47,4,Febrero,20,5,5,0,17,5,0,137,5,13.7,3.303344,15.465656,0,4,1,19,4,2,2,2,0,0,0,0,0,0,1,1,20,4,1,1,1,78.1,3,0,0,8,4,21,0,0,1,0,0,0,0,1,0,0,1,7,0,1,1,1,4,1,0,29,5,4,2,3,0,27,5,8,416.12,8,558.23,0,3,69,0,22.05,1473.3,0,0, ,0,1,44.85,2973,7.9973268229981,1,28.25,1885,7.54168309988211,1,36.45,3.59594145845467,2475.25,7.81409668000262,1,1,1,3,0,1,0,0,1,1,22,1,1,1,0,1,1,1,0,1,0,1,0
8170-YHWTSQ-825,5,2,0,75,6,Abril,11,1,2,0,2,2,1,10,1,2.4,.03888,.20112,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,0,2,35,5,1,1,0,4.9,1,1,0,5,3,24,0,0,0,1,1,1,0,0,0,0,9,3,0,0,0,4,3,4,0,23,5,2,2,2,0,15,4,17,197.27,4,65.47,0,2,46,0,19.8,884.75,1,24.75,3.2088254890147,1058,0,0,0, ,1,14,640,6.46146817635372,0,0, ,0, ,0,0,0,0,1,1,1,1,0,1,21,0,0,1,0,1,0,0,0,1,0,1,0
1144-GVCZDP-8DV,2,3,1,49,4,Febrero,22,5,1,1,3,2,0,73,3,9.2,1.437224,5.278776,0,3,1,20,5,5,13,2,0,0,0,0,0,11,1,1,20,4,1,1,1,33.9,2,1,0,5,3,19,0,0,0,1,1,0,0,1,0,0,9,4,0,0,1,4,4,3,1,13,4,2,3,3,0,13,4,4,78.22,1,21.39,1,1,31,1,7,238,1,19.5,2.9704144655697,598.55,1,57.25,1740.25,7.46178406004878,0,0,0, ,1,62.3,4.13196142579341,1879.25,7.53862804005758,1,1,1,4,0,0,0,0,1,1,22,1,1,1,1,1,1,1,1,0,0,0,0
8846-JJEGFU-I69,1,1,1,59,5,Mayo,13,2,1,0,15,4,0,63,3,6,.59346,3.18654,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,25,4,1,1,0,36.2,2,1,0,1,1,16,1,0,1,0,0,0,0,0,0,0,9,4,1,0,0,4,2,3,0,13,4,3,3,4,0,15,4,9,283.59,3,155.47,0,1,41,0,13,479,1,19.25,2.95751106073379,775.6,0,0,0, ,1,9,330,5.79909265446053,1,19.35,2.96269241947579,764.35,6.63902579944704,0,0,0,2,1,1,1,1,0,1,13,1,1,1,0,1,1,1,1,0,0,0,1
4226-TEHKPJ-GKG,1,2,1,55,5,Septiembre,12,2,3,0,10,3,0,50,3,5.1,1.0863,1.4637,0,2,1,11,1,3,0,0,0,0,0,0,0,0,1,1,32,5,2,1,0,31.8,2,0,0,1,1,21,1,0,0,0,0,0,0,0,0,0,9,4,1,0,0,1,1,3,0,22,5,3,1,4,0,15,4,11,501.11,2,63.31,0,2,49,0,9.3,465.5,1,53.5,3.97968165390196,2663.3,0,0,0, ,1,42,2060,7.63046126178363,0,0, ,0, ,0,1,0,0,1,1,1,1,0,1,29,1,1,1,0,0,0,0,0,1,0,0,0
9714-LCYJJB-SCS,5,2,0,25,3,Abril,14,2,1,0,1,1,0,50,3,10.5,1.218,4.032,1,2,0,-1,-1,5,1,0,1,0,0,0,0,0,0,2,3,2,0,-1,-1,-1,-1,-1,1,8,4,15,0,0,0,0,1,0,0,1,0,0,9,5,0,0,1,4,4,4,0,7,3,2,1,1,0,7,3,11,391.97,4,166.43,1,1,46,0,14.45,659.35,0,0, ,0,1,29.75,1319.5,7.18500815594338,1,26.5,1150,7.0475172213573,0,0, ,0, ,1,1,0,2,0,0,0,0,0,1,22,1,1,1,0,1,0,1,0,1,0,0,1
